t,theta,length,start_angle
0.0,0.786,0.19,0.786
0.0334,0.758,0.19,0.786
0.0667,0.67,0.19,0.786
0.1,0.552,0.19,0.786
0.133,0.408,0.19,0.786
0.167,0.25,0.19,0.786
0.2,0.0733,0.19,0.786
0.234,-0.101,0.19,0.786
0.267,-0.269,0.19,0.786
0.3,-0.424,0.19,0.786
0.334,-0.547,0.19,0.786
0.367,-0.645,0.19,0.786
0.4,-0.696,0.19,0.786
0.434,-0.713,0.19,0.786
0.467,-0.68,0.19,0.786
0.501,-0.625,0.19,0.786
0.534,-0.545,0.19,0.786
0.567,-0.443,0.19,0.786
0.601,-0.298,0.19,0.786
0.634,-0.141,0.19,0.786
0.667,0.0108,0.19,0.786
0.701,0.179,0.19,0.786
0.734,0.34,0.19,0.786
0.767,0.472,0.19,0.786
0.801,0.6,0.19,0.786
0.834,0.677,0.19,0.786
0.868,0.749,0.19,0.786
0.901,0.757,0.19,0.786
0.934,0.732,0.19,0.786
0.968,0.675,0.19,0.786
1.001,0.585,0.19,0.786
1.034,0.473,0.19,0.786
1.068,0.32,0.19,0.786
1.101,0.143,0.19,0.786
1.134,-0.0268,0.19,0.786
1.168,-0.2,0.19,0.786
1.201,-0.347,0.19,0.786
1.235,-0.472,0.19,0.786
1.268,-0.566,0.19,0.786
1.301,-0.631,0.19,0.786
1.335,-0.656,0.19,0.786
1.368,-0.654,0.19,0.786
1.401,-0.62,0.19,0.786
1.435,-0.563,0.19,0.786
1.468,-0.476,0.19,0.786
1.502,-0.343,0.19,0.786
1.535,-0.199,0.19,0.786
1.568,-0.051,0.19,0.786
1.602,0.0913,0.19,0.786
1.635,0.234,0.19,0.786
1.668,0.387,0.19,0.786
1.702,0.514,0.19,0.786
1.735,0.616,0.19,0.786
1.768,0.681,0.19,0.786
1.802,0.738,0.19,0.786
1.835,0.72,0.19,0.786
1.869,0.675,0.19,0.786
1.902,0.6,0.19,0.786
1.935,0.5,0.19,0.786
1.969,0.362,0.19,0.786
2.002,0.203,0.19,0.786
2.035,0.0333,0.19,0.786
2.069,-0.118,0.19,0.786
2.102,-0.258,0.19,0.786
2.135,-0.415,0.19,0.786
2.169,-0.49,0.19,0.786
2.202,-0.572,0.19,0.786
2.236,-0.601,0.19,0.786
2.269,-0.611,0.19,0.786
2.302,-0.583,0.19,0.786
2.336,-0.537,0.19,0.786
2.369,-0.445,0.19,0.786
2.402,-0.345,0.19,0.786
2.436,-0.21,0.19,0.786
2.469,-0.0659,0.19,0.786
